rank,country,population
1,Russia,146024447
2,Turkey,84644753
3,Germany,83951077
4,France,65283211
5,United Kingdom,67960106
6,Italy,60465251
7,Spain,46785134
8,Ukraine,43717532
9,Poland,37850596
10,Romania,19210031
11,Kazakhstan,18809806
12,Netherlands,17138553
13,Belgium,11602522
14,Greece,10420046
15,Czech Republic,10715154
16,Sweden,10108080
17,Portugal,10193282
18,Hungary,9659639
19,Belarus,9452184
20,Austria,9025715
21,Switzerland,8664280
22,Bulgaria,6943915
23,Serbia,8738786
24,Denmark,5793679
25,Finland,5542713
26,Slovakia,5461415
27,Norway,5424203
28,Ireland,4953657
29,Croatia,4101782
30,Georgia,3989981
